Property_ID,City,Locality,Property_Type,BHK,Size_sqft,Year_Built,Property_Age,Furnishing_Status,Parking,Metro_Distance_km,School_Distance_km,Hospital_Distance_km,Location_Rating,Amenities_Score,Price
122,Delhi,Rohini,Apartment,2,1380,2018,8,Unfurnished,3,9.5,4.2,4.8,7,3,22438651
123,Bengaluru,Whitefield,Apartment,2,1354,2021,5,Unfurnished,3,10.7,0.3,1.4,5,4,20389977
124,Chandigarh,Sector 35,Apartment,5,3055,2005,21,Semi-Furnished,1,6.5,4.6,4.6,8,1,30901437
125,Bengaluru,Electronic City,Apartment,2,1330,2012,14,Furnished,2,2.2,2.7,4.7,10,2,23399924
126,Delhi,Saket,Apartment,4,2040,2014,12,Unfurnished,2,3.8,4.3,5.1,8,6,32215871
127,Delhi,Dwarka,Independent House,3,1617,2003,23,Unfurnished,2,11.5,1.7,5.7,4,2,20583544
128,Pune,Baner,Apartment,2,974,2023,3,Semi-Furnished,2,5.3,1.3,3.9,7,3,17215633
129,Delhi,Saket,Apartment,1,668,2023,3,Semi-Furnished,1,6.1,3.9,2.9,6,3,12829615
130,Chandigarh,Sector 35,Apartment,3,2046,2025,1,Semi-Furnished,3,10.2,4.1,4.0,6,6,24716552
131,Chandigarh,Sector 17,Independent House,3,1698,2011,15,Semi-Furnished,2,7.6,0.8,2.6,7,6,24090161
132,Pune,Kothrud,Apartment,4,2292,2012,14,Unfurnished,3,6.3,4.0,5.3,8,3,29584795
133,Mumbai,Andheri,Builder Floor,4,1908,1999,27,Semi-Furnished,1,2.1,4.7,5.7,10,3,34356592
134,Mumbai,Powai,Apartment,2,1142,2014,12,Unfurnished,2,6.4,2.6,5.7,6,6,21935798
135,Delhi,Saket,Apartment,4,2544,2017,9,Semi-Furnished,0,3.2,2.4,0.6,8,4,39092783
136,Hyderabad,Kondapur,Independent House,2,1034,2001,25,Unfurnished,2,8.9,5.7,3.3,5,4,14336852
137,Hyderabad,Gachibowli,Apartment,4,1868,2023,3,Furnished,1,5.7,3.5,1.5,7,3,28403588
138,Pune,Kothrud,Builder Floor,4,2220,2012,14,Semi-Furnished,1,9.4,2.9,4.7,5,3,27488870
139,Pune,Wakad,Independent House,5,3115,2003,23,Semi-Furnished,0,9.7,4.8,2.3,7,3,33775072
140,Bengaluru,Indiranagar,Apartment,3,1413,2019,7,Semi-Furnished,1,11.2,5.2,0.5,6,3,22120713
141,Delhi,Rohini,Builder Floor,3,1359,2019,7,Unfurnished,1,11.4,4.0,1.7,4,5,20790333
142,Delhi,Dwarka,Apartment,3,1950,2002,24,Unfurnished,3,9.5,1.2,5.4,7,1,26767905
143,Pune,Kothrud,Independent House,4,2000,2013,13,Furnished,1,6.5,4.5,2.7,6,5,28540090
144,Mumbai,Andheri,Apartment,4,2284,2013,13,Furnished,0,5.9,5.5,4.3,7,4,35629671
145,Delhi,Rohini,Villa,3,1473,2024,2,Semi-Furnished,3,8.4,3.1,1.9,6,3,32290915
146,Hyderabad,Madhapur,Penthouse,3,1488,2018,8,Semi-Furnished,0,0.4,0.5,4.5,10,1,33998446
147,Chandigarh,Sector 22,Apartment,4,1832,2004,22,Furnished,3,7.6,2.2,5.2,7,3,20201033
148,Hyderabad,Kondapur,Villa,4,2088,2011,15,Semi-Furnished,3,3.2,0.5,1.9,9,4,40275290
149,Hyderabad,Madhapur,Apartment,2,1158,2009,17,Unfurnished,3,9.5,2.1,2.0,6,2,14457765
150,Chandigarh,Sector 35,Apartment,5,2760,2021,5,Furnished,3,6.6,0.5,1.9,6,1,33763044
151,Delhi,Saket,Villa,3,1953,2014,12,Furnished,3,7.5,3.8,4.2,8,6,40608406
152,Mumbai,Bandra,Apartment,3,1830,2022,4,Unfurnished,0,8.0,5.2,2.6,5,6,28733930
153,Mumbai,Andheri,Builder Floor,2,1058,2015,11,Furnished,2,10.4,1.3,0.4,4,4,16509971
154,Chandigarh,Sector 35,Villa,4,2308,2016,10,Furnished,0,9.9,4.7,2.6,7,4,34567753
155,Hyderabad,Gachibowli,Apartment,2,1202,2019,7,Unfurnished,3,9.3,3.4,0.7,6,2,16654291
156,Delhi,Rohini,Apartment,1,625,2019,7,Unfurnished,0,2.8,0.9,2.9,9,6,15706188
157,Chandigarh,Sector 17,Apartment,3,2058,1999,27,Semi-Furnished,1,8.8,0.7,3.8,7,4,23468506
158,Hyderabad,Kondapur,Builder Floor,2,1392,1999,27,Furnished,0,0.3,0.3,4.0,10,1,21039937
159,Hyderabad,Madhapur,Apartment,3,2085,2025,1,Semi-Furnished,0,3.9,5.7,4.4,9,6,29362742
160,Delhi,Dwarka,Penthouse,2,1388,2018,8,Unfurnished,3,5.8,4.7,2.8,8,5,31243577
161,Bengaluru,Indiranagar,Apartment,3,1848,2020,6,Furnished,2,10.5,4.4,0.3,4,5,25767881
162,Bengaluru,Electronic City,Apartment,4,2184,2010,16,Furnished,3,7.3,5.4,4.9,7,6,31614694
163,Mumbai,Andheri,Apartment,3,1800,2024,2,Unfurnished,2,10.0,4.9,5.2,6,2,26649551
164,Bengaluru,Electronic City,Independent House,4,2152,2015,11,Unfurnished,3,9.6,1.4,4.6,5,3,32203052
165,Chandigarh,Sector 17,Independent House,3,1506,2006,20,Furnished,0,9.5,2.9,0.7,6,1,19446928
166,Delhi,Saket,Villa,4,2704,2024,2,Furnished,2,5.8,3.6,1.3,7,1,52318399
167,Delhi,Rohini,Apartment,3,1623,2010,16,Furnished,1,3.1,5.6,3.1,8,3,25975765
168,Pune,Wakad,Independent House,2,1204,1998,28,Semi-Furnished,2,6.3,0.3,0.4,8,4,17903296
169,Chandigarh,Sector 35,Apartment,4,2084,2011,15,Unfurnished,3,9.3,4.9,5.8,6,1,24383779
170,Bengaluru,Whitefield,Penthouse,2,914,1999,27,Unfurnished,2,10.5,2.9,5.7,4,5,19151048
171,Pune,Wakad,Builder Floor,3,1419,2006,20,Semi-Furnished,1,7.8,5.7,4.1,7,2,19217837
172,Hyderabad,Gachibowli,Apartment,2,1268,2005,21,Unfurnished,0,11.3,5.7,0.5,6,1,13264142
173,Mumbai,Andheri,Independent House,3,1845,2022,4,Semi-Furnished,0,1.4,2.0,0.2,9,6,40295164
174,Pune,Wakad,Villa,3,1851,2001,25,Semi-Furnished,2,4.6,2.5,2.4,8,2,31667197
175,Hyderabad,Gachibowli,Builder Floor,4,2712,1998,28,Semi-Furnished,1,9.6,1.1,5.0,5,5,32398594
176,Bengaluru,Electronic City,Apartment,3,1422,2010,16,Unfurnished,0,5.5,2.2,5.0,8,1,21170266
177,Pune,Wakad,Apartment,2,928,2003,23,Furnished,3,6.7,1.0,5.3,7,4,13141498
178,Hyderabad,Gachibowli,Apartment,2,1328,2007,19,Semi-Furnished,1,3.3,0.8,2.8,9,1,21023177
179,Delhi,Rohini,Apartment,4,2484,2004,22,Furnished,3,10.1,0.9,4.6,5,4,29748605
180,Bengaluru,Whitefield,Builder Floor,1,524,2011,15,Unfurnished,0,10.0,5.9,1.0,6,1,7268897
181,Hyderabad,Kondapur,Apartment,2,900,2023,3,Furnished,2,2.4,2.7,5.5,8,3,17410122
182,Chandigarh,Sector 17,Apartment,2,1294,2005,21,Furnished,1,2.5,0.7,0.7,10,6,20562525
183,Hyderabad,Madhapur,Apartment,2,1242,2020,6,Furnished,1,7.1,1.4,0.6,8,5,21254088
184,Hyderabad,Kondapur,Builder Floor,3,1614,2008,18,Semi-Furnished,3,1.3,2.6,4.6,9,6,27353160
185,Bengaluru,Whitefield,Apartment,4,2172,1999,27,Unfurnished,2,7.0,5.2,2.3,7,5,29498855
186,Mumbai,Bandra,Apartment,2,1324,2025,1,Semi-Furnished,3,7.0,5.4,1.9,6,6,25307736
187,Hyderabad,Madhapur,Apartment,3,1761,2002,24,Unfurnished,1,11.6,1.5,1.3,4,3,17919035
188,Bengaluru,Electronic City,Builder Floor,1,474,2020,6,Furnished,1,3.3,5.1,3.9,9,5,15426973
189,Delhi,Rohini,Apartment,2,948,2020,6,Unfurnished,0,3.4,2.9,3.6,9,1,18825096
190,Mumbai,Bandra,Apartment,2,1202,2005,21,Unfurnished,1,8.1,2.9,2.5,5,6,18377851
191,Hyderabad,Kondapur,Apartment,4,2336,1999,27,Semi-Furnished,0,9.4,2.2,1.6,6,6,25273696
192,Hyderabad,Kondapur,Builder Floor,4,2632,2010,16,Furnished,0,4.0,1.1,4.1,8,2,31796465
193,Hyderabad,Kondapur,Villa,2,1170,2003,23,Unfurnished,2,5.3,3.1,0.3,7,4,23250261
194,Hyderabad,Madhapur,Villa,4,2704,2026,0,Unfurnished,0,10.4,3.8,5.5,6,3,43321669
195,Pune,Kothrud,Builder Floor,1,475,2006,20,Unfurnished,0,5.3,5.7,1.9,8,3,9088247
196,Pune,Baner,Apartment,3,2082,2014,12,Semi-Furnished,0,5.7,3.3,1.1,7,5,29075544
197,Delhi,Saket,Builder Floor,3,1560,2005,21,Furnished,0,8.9,1.9,2.8,7,5,22757959
198,Delhi,Rohini,Apartment,3,1629,2012,14,Furnished,2,7.4,2.9,2.0,6,3,23453739
199,Delhi,Dwarka,Apartment,2,1198,2010,16,Unfurnished,2,2.1,5.7,2.1,9,4,21838970
200,Bengaluru,Indiranagar,Builder Floor,2,928,2022,4,Unfurnished,1,6.7,3.7,2.2,8,1,17749046
201,Chandigarh,Sector 22,Builder Floor,2,1290,2001,25,Furnished,1,11.9,4.1,5.6,5,3,11970214
202,Pune,Wakad,Apartment,2,1212,2025,1,Semi-Furnished,0,8.9,4.5,4.6,6,3,15827206
203,Pune,Kothrud,Villa,3,1665,2025,1,Unfurnished,0,5.0,3.4,0.9,8,5,29301387
204,Delhi,Saket,Builder Floor,2,1218,2017,9,Unfurnished,3,10.2,4.2,1.9,5,3,19265469
205,Bengaluru,Indiranagar,Apartment,3,1845,2008,18,Unfurnished,3,4.7,1.9,3.3,7,4,28843551
206,Chandigarh,Sector 22,Villa,1,685,2008,18,Semi-Furnished,1,11.5,1.4,2.7,4,1,8421796
207,Mumbai,Andheri,Villa,3,2055,2015,11,Semi-Furnished,3,6.3,3.2,4.2,7,4,44922875
208,Bengaluru,Whitefield,Villa,2,1384,1998,28,Furnished,0,6.4,0.8,2.4,7,6,25491987
209,Chandigarh,Sector 35,Apartment,2,1114,2013,13,Semi-Furnished,3,9.3,5.4,3.6,7,5,15934708
210,Pune,Baner,Apartment,2,1400,2000,26,Semi-Furnished,1,1.5,5.4,4.2,10,4,22687350
211,Pune,Baner,Apartment,4,2012,2014,12,Unfurnished,3,2.4,3.9,3.7,9,5,30166345
212,Pune,Kothrud,Independent House,3,1356,2023,3,Unfurnished,2,8.6,3.4,5.5,6,1,21713115
213,Chandigarh,Sector 17,Independent House,2,1154,2022,4,Furnished,2,10.5,5.4,3.2,4,5,14901170
214,Delhi,Saket,Villa,2,1164,2022,4,Furnished,0,0.5,0.6,5.7,10,4,31202541
215,Chandigarh,Sector 22,Builder Floor,1,453,2019,7,Furnished,2,1.9,1.6,1.8,9,3,13300508
216,Pune,Baner,Builder Floor,4,1864,2009,17,Unfurnished,3,7.6,0.3,1.5,7,5,27280352
217,Mumbai,Andheri,Apartment,2,1014,1999,27,Unfurnished,1,3.9,5.4,4.9,9,4,18848301
218,Chandigarh,Sector 22,Penthouse,3,2079,2000,26,Unfurnished,3,8.2,3.6,2.6,6,6,35085351
219,Hyderabad,Gachibowli,Independent House,2,988,2003,23,Semi-Furnished,3,2.4,5.8,1.9,10,3,19005239
220,Mumbai,Andheri,Apartment,2,1106,2018,8,Unfurnished,0,5.2,5.5,3.4,8,2,22850254
221,Hyderabad,Madhapur,Apartment,3,1563,2019,7,Unfurnished,2,9.7,1.6,1.0,5,3,20186979
222,Chandigarh,Sector 17,Villa,3,1959,2023,3,Unfurnished,1,4.5,1.5,2.5,9,5,32079312
223,Delhi,Saket,Penthouse,3,1524,2025,1,Semi-Furnished,1,11.3,6.0,3.7,5,5,33943806
224,Bengaluru,Electronic City,Apartment,3,1512,2002,24,Unfurnished,0,6.6,1.8,4.7,7,1,20946441
225,Pune,Kothrud,Villa,2,1098,2020,6,Unfurnished,1,9.4,1.5,1.3,5,1,17407545
226,Chandigarh,Sector 22,Builder Floor,4,1996,2000,26,Furnished,2,1.2,1.9,4.9,10,3,30037156
227,Bengaluru,Indiranagar,Builder Floor,3,1830,2026,0,Furnished,1,11.3,1.2,2.3,6,6,30103998
228,Bengaluru,Indiranagar,Apartment,3,1704,2005,21,Semi-Furnished,2,10.9,0.8,1.9,5,5,23170358
229,Pune,Baner,Independent House,1,460,2017,9,Unfurnished,3,2.5,2.0,2.4,8,5,13733891
230,Bengaluru,Electronic City,Villa,2,1328,2005,21,Furnished,3,8.7,1.7,2.7,7,5,25668668
231,Bengaluru,Whitefield,Apartment,4,2468,2007,19,Unfurnished,0,11.7,4.2,0.4,5,2,28447670
232,Bengaluru,Electronic City,Builder Floor,3,1920,2010,16,Furnished,1,3.5,0.7,5.7,9,4,28858173
233,Bengaluru,Electronic City,Apartment,3,1992,2018,8,Furnished,3,6.2,4.1,1.4,8,5,33289418
234,Delhi,Saket,Independent House,1,629,2024,2,Furnished,2,2.3,1.1,4.7,8,5,19310385
235,Bengaluru,Whitefield,Penthouse,2,1076,2011,15,Unfurnished,1,7.7,1.0,4.2,7,6,25032765
236,Hyderabad,Gachibowli,Independent House,1,627,2012,14,Unfurnished,2,8.4,1.0,4.3,7,5,12000368
237,Delhi,Saket,Villa,2,1116,2022,4,Unfurnished,1,7.3,2.9,4.6,6,1,20833805
238,Pune,Wakad,Apartment,3,1383,1999,27,Semi-Furnished,2,2.5,4.3,2.8,8,2,18424134
239,Bengaluru,Indiranagar,Apartment,2,986,2015,11,Unfurnished,0,0.3,6.0,4.6,9,6,17395236
